Month,Year,Autonomous Community,Province,Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,Victims
April,2016,Castilla y León,Salamanca,Partner,41-50 years,31-40 years,Yes,Yes,1
April,2016,Cataluña,Barcelona,Ex-partner,31-40 years,41-50 years,No,No,1
April,2016,Comunitat Valenciana,Alicante/Alacant,Partner,41-50 years,41-50 years,Yes,Yes,1
May,2016,Aragón,Zaragoza,Partner,65-74 years,65-74 years,No,Yes,1
May,2016,Illes Balears,Illes Balears,Partner,41-50 years,51-64 years,No,Yes,1
May,2016,Canarias,Santa Cruz de Tenerife,Partner,51-64 years,65-74 years,Yes,Yes,1
June,2016,Andalucía,Sevilla,In separation process,31-40 years,31-40 years,No,No,1
June,2016,Cataluña,Barcelona,Partner,31-40 years,51-64 years,No,Yes,1
July,2016,Andalucía,Huelva,Ex-partner,41-50 years,41-50 years,Yes,No,1
July,2016,Aragón,Zaragoza,In separation process,21-30 years,31-40 years,Yes,No,1
July,2016,Castilla y León,Burgos,In separation process,41-50 years,51-64 years,No,No,1
July,2016,Comunitat Valenciana,Castellón/Castelló,In separation process,41-50 years,31-40 years,No,Yes,1
July,2016,País Vasco,Bizkaia,Partner,51-64 years,41-50 years,Yes,Yes,1
July,2016,Melilla,Melilla,Ex-partner,21-30 years,31-40 years,Yes,No,1
August,2016,Illes Balears,Illes Balears,In separation process,31-40 years,31-40 years,No,Yes,1
August,2016,Canarias,Las Palmas,Partner,51-64 years,51-64 years,Ex-officio,Yes,1
August,2016,Comunitat Valenciana,Alicante/Alacant,Partner,31-40 years,31-40 years,No,Yes,1
September,2016,Illes Balears,Illes Balears,In separation process,31-40 years,21-30 years,No,Yes,1
September,2016,Cataluña,Barcelona,Partner,31-40 years,41-50 years,No,Yes,1
October,2016,Andalucía,Sevilla,In separation process,21-30 years,41-50 years,Yes,No,1
October,2016,Castilla y León,Ávila,In separation process,31-40 years,31-40 years,No,Yes,1
October,2016,Castilla y León,Salamanca,In separation process,51-64 years,51-64 years,Yes,Yes,1
October,2016,Comunitat Valenciana,Alicante/Alacant,Partner,75-84 years,75-84 years,No,Yes,1
November,2016,Illes Balears,Illes Balears,Partner,51-64 years,41-50 years,No,Yes,1
November,2016,Castilla y León,Burgos,Ex-partner,41-50 years,51-64 years,No,No,1
November,2016,Castilla y León,León,In separation process,51-64 years,51-64 years,Yes,Yes,1
November,2016,Comunidad de Madrid,Madrid,Partner,21-30 years,21-30 years,No,No,1
December,2016,Cataluña,Barcelona,In separation process,51-64 years,65-74 years,No,Yes,1
December,2016,Cataluña,Tarragona,Partner,41-50 years,41-50 years,No,Yes,1
December,2016,Galicia,A Coruña,Ex-partner,21-30 years,31-40 years,No,Yes,1
December,2016,Galicia,Pontevedra,In separation process,21-30 years,31-40 years,No,No,1
January,2017,Andalucía,Almería,Ex-partner,31-40 years,21-30 years,No,No,1
January,2017,Castilla - La Mancha,Toledo,Partner,31-40 years,41-50 years,Yes,Yes,1
January,2017,Galicia,Ourense,Partner,51-64 years,51-64 years,No,Yes,1
January,2017,Comunidad de Madrid,Madrid,Ex-partner,31-40 years,18-20 years,Yes,No,1
January,2017,Comunidad de Madrid,Madrid,In separation process,21-30 years,21-30 years,No,Yes,1
January,2017,Comunidad Foral de Navarra,Navarra,Partner,41-50 years,41-50 years,No,Yes,1
February,2017,Castilla - La Mancha,Ciudad Real,Partner,41-50 years,51-64 years,No,Unknown,1
February,2017,Castilla - La Mancha,Toledo,Partner,21-30 years,31-40 years,No,Yes,1
February,2017,Castilla - La Mancha,Toledo,Partner,31-40 years,41-50 years,No,Yes,1
